,ano,notaProva1,questoesFeitasProva1,quantidadeProva1,tituloProva1,notaProva2,questoesFeitasProva2,quantidadeProva2,tituloProva2,mediaProvas,situacao,qsub1,qsub2,qsub3,qsub4,qsub5,qsubp1,qsubp2,totalsub,igualACeml123,igualACeml45,qsemana1,qsemana2,qsemana3,qsemana4,qsemana5,qsemana6,qsemana7,qsemana8,submeteu1,submeteu2,submeteu3,submeteu4,submeteu5,submeteu6,submeteu7,submeteu8,madrugada,manha,tarde,noite,subListaLab23,subListaLab45,subListaLab67,subListaLab89,subListaLab1011,subListaExer23,subListaExer45,subListaExer67,subListaExer89,subListaExer1011,subDistintasLab23,subDistintasLab45,subDistintasLab67,subDistintasLab89,subDistintasLab1011,subDistintasExer23,subDistintasExer45,subDistintasExer67,subDistintasExer89,subDistintasExer1011,diferentesLabSemanas23,diferentesLabSemanas45,diferentesLabSemanas67,diferentesLabSemanas89,diferentesLabSemanas1011,diferentesExerSemanas23,diferentesExerSemanas45,diferentesExerSemanas67,diferentesExerSemanas89,diferentesExerSemanas1011
51,2017.2,0.0,1.0,1.0,"Questão 2, Prova 1 - Prof. Rummenigge",8.0,5.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,4.0,0,10,2,3,1,3,15,4,19,10,3,0.0,0.0,11.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
52,2017.2,0.0,1.0,1.0,"Questão 2, Prova 1 - Prof. Rummenigge",0.0,3.0,3.0,Prova 2 - Turma A e B - 2018.2,0.0,0,10,2,3,1,3,15,4,19,10,3,0.0,0.0,11.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
53,2018.1,3.2,5.0,5.0,Prova 1 - Turmas 3A e 3B,8.0,5.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,5.6,0,10,2,3,1,3,15,4,19,10,3,0.0,0.0,11.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
54,2018.1,3.2,5.0,5.0,Prova 1 - Turmas 3A e 3B,8.0,5.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,5.6,0,10,2,3,1,3,15,4,19,10,3,0.0,0.0,11.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
55,2018.1,3.2,5.0,5.0,Prova 1 - Turmas 3A e 3B,0.0,3.0,3.0,Prova 2 - Turma A e B - 2018.2,1.6,0,10,2,3,1,3,15,4,19,10,3,0.0,0.0,11.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
56,2018.1,3.2,5.0,5.0,Prova 1 - Turmas 3A e 3B,8.0,5.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,5.6,0,10,2,3,1,3,15,4,19,10,3,0.0,0.0,11.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
57,2018.1,3.2,5.0,5.0,Prova 1 - Turmas 3A e 3B,8.0,5.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,5.6,0,10,2,3,1,3,15,4,19,10,3,0.0,0.0,11.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
58,2018.1,3.2,5.0,5.0,Prova 1 - Turmas 3A e 3B,0.0,3.0,3.0,Prova 2 - Turma A e B - 2018.2,1.6,0,10,2,3,1,3,15,4,19,10,3,0.0,0.0,11.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
59,2018.2,0.0,2.0,3.0,Prova 1 - T02 - 2018.2,8.0,5.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,4.0,0,10,2,3,1,3,15,4,19,10,3,0.0,0.0,11.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
60,2018.2,0.0,2.0,3.0,Prova 1 - T02 - 2018.2,8.0,5.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,4.0,0,10,2,3,1,3,15,4,19,10,3,0.0,0.0,11.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
