Posição,Sexo,Categoria,Posição na Categoria,Tempo Final,Tempo Bruto  ,Ritmo,Velocidade
134.,Masculino,40-44,17,0:51:45.06,0:54:16.18,5:11,
135.,Masculino,65-69,6,0:51:46.09,0:53:23.41,5:11,
136.,Masculino,35-39,25,0:51:49.26,0:53:09.67,5:11,
137.,Masculino,45-49,13,0:51:50.98,0:53:15.19,5:11,
138.,Masculino,25-34,31,0:51:54.62,0:56:39.95,5:11,
139.,Masculino,25-34,32,0:51:58.34,0:52:27.39,5:12,
140.,Masculino,25-34,33,0:52:02.00,0:52:22.75,5:12,
141.,Masculino,35-39,26,0:52:06.96,0:55:29.91,5:13,
142.,Feminino,35-39,4,0:52:12.66,0:52:23.26,5:13,
143.,Feminino,40-44,2,0:52:13.25,0:56:50.87,5:13,
144.,Masculino,50-54,10,0:52:15.37,0:52:27.83,5:13,
145.,Feminino,25-34,3,0:52:15.39,0:55:38.66,5:13,
146.,Masculino,45-49,14,0:52:27.42,0:53:53.74,5:14,
147.,Feminino,50-54,2,0:52:34.21,0:52:38.47,5:16,
148.,Masculino,25-34,34,0:52:37.87,0:55:28.75,5:16,
149.,Masculino,35-39,27,0:52:43.85,0:53:44.85,5:16,
150.,Masculino,50-54,11,0:52:44.64,0:57:06.57,5:16,
151.,Masculino,50-54,12,0:52:45.82,0:52:57.79,5:17,
152.,Masculino,35-39,28,0:52:45.92,0:56:04.33,5:17,
153.,Masculino,50-54,13,0:52:49.38,0:55:19.98,5:17,
154.,Feminino,25-34,4,0:52:51.99,0:56:00.75,5:17,
155.,Masculino,25-34,35,0:52:52.04,0:54:09.84,5:17,
156.,Feminino,18-24,1,0:52:53.08,0:53:26.48,5:17,
157.,Masculino,35-39,29,0:52:58.13,0:55:10.48,5:18,
158.,Masculino,25-34,36,0:52:59.72,0:54:27.41,5:18,
159.,Masculino,45-49,15,0:53:01.75,0:55:10.80,5:18,
160.,Feminino,45-49,3,0:53:01.99,0:54:47.73,5:18,
161.,Masculino,25-34,37,0:53:04.03,0:58:30.67,5:19,
162.,Masculino,25-34,38,0:53:06.54,0:57:53.76,5:19,
163.,Masculino,18-24,4,0:53:08.38,0:57:20.63,5:19,
164.,Masculino,50-54,14,0:53:09.02,0:56:40.24,5:19,
165.,Masculino,45-49,16,0:53:09.45,0:53:29.69,5:19,
166.,Masculino,55-59,5,0:53:14.33,0:53:50.74,5:19,
167.,Masculino,25-34,39,0:53:17.23,0:55:36.50,5:20,
168.,Feminino,25-34,5,0:53:18.44,0:54:51.21,5:20,
169.,Masculino,35-39,30,0:53:23.92,0:54:03.63,5:20,
170.,Feminino,25-34,6,0:53:27.08,0:53:57.92,5:21,
171.,Masculino,45-49,17,0:53:27.71,0:58:17.33,5:21,
172.,Masculino,40-44,18,0:53:28.54,0:56:54.03,5:21,
173.,Masculino,60-64,7,0:53:31.72,0:54:55.26,5:21,
174.,Masculino,35-39,31,0:53:34.12,0:54:32.17,5:22,
175.,Masculino,35-39,32,0:53:34.39,0:54:15.67,5:22,
176.,Masculino,50-54,15,0:53:35.06,0:57:37.68,5:22,
177.,Masculino,25-34,40,0:53:35.52,0:57:07.83,5:22,
178.,Masculino,50-54,16,0:53:35.57,0:55:26.62,5:22,
179.,Feminino,55-59,1,0:53:36.28,0:53:57.61,5:22,
180.,Masculino,60-64,8,0:53:38.72,0:54:04.84,5:22,
181.,Masculino,25-34,41,0:53:40.99,0:53:53.03,5:22,
182.,Feminino,40-44,3,0:53:46.72,0:55:57.02,5:23,
183.,Masculino,25-34,42,0:53:46.90,0:58:47.69,5:23,
184.,Masculino,40-44,19,0:53:47.12,1:00:38.26,5:23,
185.,Masculino,60-64,9,0:53:48.48,0:54:45.39,5:23,
186.,Masculino,55-59,6,0:53:49.65,0:54:22.40,5:23,
187.,Masculino,25-34,43,0:53:50.69,0:57:00.73,5:23,
188.,Masculino,35-39,33,0:53:57.06,0:57:27.20,5:24,
189.,Masculino,35-39,34,0:53:57.57,1:02:16.15,5:24,
190.,Masculino,40-44,20,0:54:00.39,1:01:40.83,5:24,
191.,Feminino,25-34,7,0:54:02.24,0:54:19.57,5:24,
192.,Feminino,50-54,3,0:54:02.38,0:54:13.38,5:24,
193.,Masculino,45-49,18,0:54:06.06,0:54:37.36,5:25,
194.,Masculino,55-59,7,0:54:08.23,0:54:16.34,5:25,
195.,Masculino,35-39,35,0:54:09.95,0:55:08.75,5:25,
196.,Masculino,25-34,44,0:54:10.52,0:59:01.88,5:25,
197.,Masculino,50-54,17,0:54:11.22,0:57:21.73,5:25,
198.,Feminino,45-49,4,0:54:11.25,0:54:31.66,5:25,
199.,Masculino,35-39,36,0:54:13.53,0:57:01.47,5:25,
200.,Masculino,60-64,10,0:54:17.88,0:54:54.43,5:26,
201.,Masculino,25-34,45,0:54:20.24,1:02:41.72,5:26,
202.,Masculino,25-34,46,0:54:20.53,1:01:41.60,5:26,
203.,Masculino,25-34,47,0:54:21.17,1:02:46.34,5:26,
204.,Masculino,35-39,37,0:54:21.63,0:57:55.26,5:26,
205.,Masculino,25-34,48,0:54:22.18,0:54:47.28,5:26,
206.,Feminino,35-39,5,0:54:28.16,0:56:04.80,5:27,
207.,Masculino,45-49,19,0:54:29.09,0:55:18.98,5:27,
208.,Masculino,50-54,18,0:54:31.58,0:55:05.78,5:27,
209.,Masculino,40-44,21,0:54:33.31,0:57:26.68,5:28,
210.,Masculino,40-44,22,0:54:33.74,1:01:20.74,5:28,
211.,Feminino,45-49,5,0:54:34.48,0:56:32.34,5:28,
212.,Masculino,18-24,5,0:54:38.94,1:02:54.15,5:28,
213.,Masculino,45-49,20,0:54:42.95,0:58:56.34,5:28,
214.,Masculino,45-49,21,0:54:43.36,1:03:05.47,5:28,
215.,Masculino,45-49,22,0:54:43.85,0:55:34.43,5:28,
216.,Feminino,40-44,4,0:54:43.86,0:55:22.12,5:28,
217.,Masculino,55-59,8,0:54:44.10,0:54:57.66,5:28,
218.,Feminino,35-39,6,0:54:48.96,0:59:35.17,5:29,
219.,Feminino,35-39,7,0:54:49.89,0:56:43.62,5:29,
220.,Masculino,25-34,49,0:54:50.04,0:58:05.71,5:29,
221.,Masculino,35-39,38,0:54:51.95,0:58:49.26,5:29,
222.,Feminino,35-39,8,0:54:52.53,0:55:22.85,5:29,
223.,Masculino,40-44,23,0:54:58.01,1:03:30.18,5:30,
224.,Masculino,25-34,50,0:54:58.43,0:57:10.89,5:30,
225.,Feminino,40-44,5,0:54:59.68,0:57:34.39,5:30,
226.,Feminino,55-59,2,0:55:00.05,0:55:20.37,5:30,
227.,Masculino,35-39,39,0:55:02.41,0:55:02.41,5:30,
228.,Feminino,35-39,9,0:55:05.45,1:00:53.89,5:31,
229.,Masculino,35-39,40,0:55:10.61,0:56:02.10,5:31,
230.,Masculino,35-39,41,0:55:11.49,0:58:32.98,5:31,
231.,Masculino,35-39,42,0:55:14.21,1:02:31.36,5:31,
232.,Feminino,25-34,8,0:55:15.68,1:00:06.63,5:31,
233.,Masculino,60-64,11,0:55:16.31,0:55:27.33,5:32,
234.,Feminino,25-34,9,0:55:18.72,1:00:15.99,5:32,
235.,Masculino,45-49,23,0:55:19.64,0:55:39.43,5:32,
236.,Masculino,35-39,43,0:55:20.09,0:57:56.82,5:32,
237.,Feminino,25-34,10,0:55:20.17,0:55:32.78,5:32,
238.,Masculino,25-34,51,0:55:24.25,0:59:47.21,5:32,
239.,Masculino,45-49,24,0:55:29.54,0:58:23.99,5:33,
240.,Masculino,40-44,24,0:55:30.36,1:04:31.85,5:33,
241.,Masculino,35-39,44,0:55:33.72,1:02:42.36,5:34,
242.,Feminino,55-59,3,0:55:37.63,1:02:19.27,5:34,
243.,Masculino,60-64,12,0:55:38.34,1:00:14.29,5:34,
244.,Masculino,35-39,45,0:55:39.04,0:58:35.78,5:34,
245.,Masculino,60-64,13,0:55:42.46,0:55:49.36,5:34,
246.,Feminino,40-44,6,0:55:42.67,0:57:28.90,5:34,
247.,Masculino,25-34,52,0:55:43.39,0:58:58.71,5:34,
248.,Masculino,25-34,53,0:55:45.22,0:59:00.64,5:35,
249.,Feminino,40-44,7,0:55:47.23,0:56:25.14,5:35,
250.,Feminino,25-34,11,0:55:49.74,0:57:46.03,5:35,
251.,Feminino,35-39,10,0:55:51.38,0:57:10.37,5:35,
252.,Masculino,50-54,19,0:55:54.33,1:02:02.33,5:35,
253.,Masculino,18-24,6,0:55:55.21,0:57:05.33,5:35,
254.,Masculino,25-34,54,0:55:56.71,1:04:23.40,5:35,
255.,Feminino,25-34,12,0:55:57.22,1:02:46.51,5:36,
256.,Feminino,25-34,13,0:55:58.25,0:59:06.56,5:36,
257.,Masculino,35-39,46,0:56:08.93,0:57:10.37,5:37,
258.,Masculino,50-54,20,0:56:09.34,0:58:54.90,5:37,
259.,Feminino,55-59,4,0:56:10.56,0:56:23.67,5:37,
260.,Masculino,40-44,25,0:56:11.02,1:03:53.02,5:37,
261.,Masculino,60-64,14,0:56:11.10,0:56:22.23,5:37,
262.,Masculino,60-64,15,0:56:11.27,1:00:20.54,5:37,
263.,Feminino,40-44,8,0:56:12.67,1:00:16.81,5:37,
264.,Masculino,25-34,55,0:56:12.98,0:59:25.31,5:37,
265.,Masculino,25-34,56,0:56:13.45,0:56:32.72,5:37,
266.,Masculino,18-24,7,0:56:15.26,1:02:28.30,5:37,
267.,Masculino,25-34,57,0:56:15.65,1:01:50.98,5:37,
268.,Feminino,25-34,14,0:56:17.18,1:00:22.33,5:38,
269.,Masculino,35-39,47,0:56:17.26,0:58:48.86,5:38,
270.,Masculino,60-64,16,0:56:19.39,0:58:58.50,5:38,
271.,Masculino,65-69,7,0:56:19.86,0:59:15.60,5:38,
272.,Masculino,55-59,9,0:56:20.49,0:57:56.52,5:38,
273.,Masculino,18-24,8,0:56:21.02,1:04:51.02,5:38,
274.,Masculino,45-49,25,0:56:21.25,0:58:55.14,5:38,
275.,Feminino,45-49,6,0:56:21.58,0:56:21.58,5:38,
276.,Masculino,40-44,26,0:56:22.03,0:57:38.81,5:38,
277.,Masculino,65-69,8,0:56:22.43,0:58:22.88,5:38,
278.,Masculino,40-44,27,0:56:25.13,0:57:44.75,5:38,
279.,Feminino,35-39,11,0:56:26.11,0:57:59.74,5:38,
280.,Feminino,45-49,7,0:56:26.35,0:56:43.59,5:38,
281.,Feminino,35-39,12,0:56:31.41,0:58:22.09,5:39,
282.,Masculino,35-39,48,0:56:32.16,1:03:43.54,5:39,
283.,Masculino,35-39,49,0:56:32.46,1:00:47.95,5:39,
284.,Feminino,45-49,8,0:56:34.11,0:58:09.66,5:40,
285.,Feminino,45-49,9,0:56:34.54,0:58:00.55,5:40,
286.,Masculino,45-49,26,0:56:35.95,0:56:44.32,5:40,
287.,Feminino,35-39,13,0:56:38.32,1:00:44.13,5:40,
288.,Masculino,55-59,10,0:56:43.24,0:58:10.28,5:40,
289.,Masculino,60-64,17,0:56:44.75,1:02:47.80,5:40,
290.,Masculino,35-39,50,0:56:45.08,1:03:49.14,5:41,
291.,Masculino,40-44,28,0:56:45.21,1:00:27.61,5:41,
292.,Masculino,45-49,27,0:56:45.80,1:04:46.47,5:41,
293.,Masculino,40-44,29,0:56:49.22,1:01:40.43,5:41,
294.,Masculino,60-64,18,0:56:53.32,0:57:57.17,5:41,
295.,Masculino,55-59,11,0:56:55.95,1:01:24.41,5:41,
296.,Masculino,45-49,28,0:56:57.61,0:57:44.44,5:42,
297.,Masculino,18-24,9,0:57:00.15,1:01:41.98,5:42,
298.,Masculino,55-59,12,0:57:02.51,0:59:00.49,5:42,
299.,Masculino,25-34,58,0:57:02.57,0:59:16.81,5:42,
300.,Masculino,40-44,30,0:57:04.54,1:00:01.75,5:43,
301.,Feminino,35-39,14,0:57:05.69,0:57:17.61,5:43,
302.,Masculino,25-34,59,0:57:07.19,1:05:29.50,5:43,
303.,Masculino,55-59,13,0:57:08.51,0:59:01.57,5:43,
304.,Feminino,25-34,15,0:57:10.71,1:03:32.03,5:43,
305.,Masculino,45-49,29,0:57:12.73,0:59:49.51,5:43,
306.,Masculino,55-59,14,0:57:13.95,0:57:38.06,5:43,
307.,Feminino,35-39,15,0:57:16.27,0:58:23.98,5:44,
308.,Masculino,40-44,31,0:57:16.53,0:59:52.81,5:44,
309.,Feminino,40-44,9,0:57:16.84,0:57:50.01,5:44,
310.,Masculino,65-69,9,0:57:17.48,0:57:59.76,5:44,
311.,Masculino,40-44,32,0:57:21.57,1:06:54.26,5:44,
312.,Masculino,40-44,33,0:57:22.71,1:00:03.22,5:44,
313.,Masculino,60-64,19,0:57:23.30,1:02:14.23,5:44,
314.,Feminino,25-34,16,0:57:23.50,1:02:14.59,5:44,
315.,Masculino,35-39,51,0:57:27.01,0:58:05.70,5:44,
316.,Masculino,60-64,20,0:57:27.88,0:59:44.09,5:44,
317.,Feminino,18-24,2,0:57:28.61,0:57:28.61,5:45,
318.,Masculino,35-39,52,0:57:29.35,0:58:06.80,5:45,
319.,Masculino,25-34,60,0:57:29.61,1:02:59.93,5:45,
320.,Masculino,35-39,53,0:57:31.44,0:57:49.99,5:45,
321.,Masculino,25-34,61,0:57:32.29,1:00:00.96,5:45,
322.,Masculino,65-69,10,0:57:32.41,0:58:05.24,5:45,
323.,Feminino,40-44,10,0:57:34.44,0:59:46.98,5:46,
324.,Feminino,60-64,3,0:57:36.27,0:59:38.72,5:46,
325.,Masculino,25-34,62,0:57:37.89,1:06:03.41,5:46,
326.,Feminino,25-34,17,0:57:38.62,1:07:04.18,5:46,
327.,Feminino,35-39,16,0:57:42.14,1:05:38.11,5:46,
328.,Feminino,40-44,11,0:57:43.65,0:58:22.60,5:46,
329.,Masculino,45-49,30,0:57:44.79,0:59:17.48,5:46,
330.,Feminino,60-64,4,0:57:45.08,1:01:47.39,5:47,
331.,Masculino,45-49,31,0:57:45.10,0:58:36.98,5:47,
332.,Masculino,25-34,63,0:57:48.75,1:00:14.30,5:47,
333.,Feminino,25-34,18,0:57:49.69,1:06:04.68,5:47,
334.,Masculino,45-49,32,0:57:51.68,1:01:45.61,5:47,
335.,Masculino,35-39,54,0:57:52.74,1:01:39.25,5:47,
336.,Masculino,35-39,55,0:57:52.84,1:05:41.34,5:47,
337.,Feminino,35-39,17,0:57:54.05,1:01:38.16,5:47,
338.,Feminino,35-39,18,0:57:55.78,1:00:10.71,5:47,
339.,Feminino,25-34,19,0:57:58.01,0:58:05.90,5:48,
