Unid. 1,Unid. 2,Unid. 3,Resultado,Sit.,op_aritmetico,if,op_logico,while,vetor,dev_jogos,html,css,p5js,cpp,java,javascript,python,Você tem acesso regular a um ambiente computacional no qual possa programar durante a disciplina?,Quanto tempo você disponível para estudar para disciplina por semana? (Em horas) ,interesse_em_programacao,seu_ensino_medio
0.4,0.0,0.0,0.1,REP,0.0,0,0.0,0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,Sim,12.0,7,Ensino médio convencional público
9.3,6.0,5.3,6.9,APRN,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,20.0,9,Ensino médio convencional público
9.1,4.5,8.3,7.3,APR,3.0,3,3.0,3,3.0,1.0,3,3.0,0.0,1.0,1.0,1.0,1.0,Sim,3.0,10,Ensino médio convencional particular
10.0,10.0,10.0,10.0,APR,3.0,1,1.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Sim,20.0,8,Ensino médio convencional público
7.8,8.4,7.4,7.9,APR,0.0,0,0.0,0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,Não,7.0,8,Ensino médio convencional particular
9.8,8.9,8.9,9.2,APR,3.0,3,3.0,3,1.0,3.0,0,0.0,3.0,0.0,0.0,5.0,0.0,Sim,30.0,10,Técnica particular
9.8,8.9,8.9,9.2,APR,5.0,3,3.0,1,1.0,3.0,0,0.0,3.0,0.0,0.0,3.0,0.0,Sim,36.0,10,Técnica particular
9.5,10.0,6.0,8.5,APR,1.0,0,1.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,Sim,2.0,10,Ensino médio convencional público
10.0,9.3,8.7,9.3,APR,0.0,1,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,Sim,100.0,10,Ensino médio convencional particular
10.0,10.0,6.0,8.7,APR,3.0,1,3.0,1,0.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,Sim,10.0,10,Ensino médio convencional público
9.4,9.6,5.8,8.3,APR,0.0,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,Sim,2.0,7,Ensino médio convencional público
9.6,10.0,10.0,9.9,APR,1.0,0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Não,20.0,10,Ensino médio convencional particular
8.3,7.3,5.3,7.0,APR,3.0,3,3.0,3,1.0,1.0,1,1.0,1.0,5.0,3.0,3.0,0.0,Sim,20.0,10,Técnica pública
